Conta,Campanha,Grupo de anúncios,Palavra-chave / Termo,Tipo,Impressões,Cliques,Custo,Conversões,Valor de conversão,Parcela de impressões de pesquisa,Parcela perdida (orçamento),Parcela perdida (classificação)
Adroq Cliente X,Search - Marca,Marca Exata,marca exata kw1,Palavra-chave,2671,457,218.11,45.45,7144.13,0.608,0.455,0
Adroq Cliente X,Search - Marca,Marca Exata,marca exata kw2,Palavra-chave,3717,464,507.54,6.05,934.03,0.497,0.413,0.09
Adroq Cliente X,Search - Marca,Marca Exata,marca exata kw3,Palavra-chave,2228,541,762.27,38.98,5095.73,0.61,0.025,0.365
Adroq Cliente X,Search - Marca,Marca Exata,marca exata kw4,Palavra-chave,3822,481,853.08,18.42,3652.49,0.282,0.154,0.564
Adroq Cliente X,Search - Marca,Marca Exata,marca exata kw5,Palavra-chave,3161,421,553.16,11.2,1790.8,0.698,0.282,0.02
Adroq Cliente X,Search - Marca,Marca Exata,termo pesquisa Sear0,Termo de pesquisa,1066,88,784.29,3.75,2100.71,,,
Adroq Cliente X,Search - Marca,Marca Exata,termo pesquisa Sear1,Termo de pesquisa,790,39,203.95,0,0,,,
Adroq Cliente X,Search - Marca,Marca Exata,termo pesquisa Sear2,Termo de pesquisa,1647,32,98.05,0,0,,,
Adroq Cliente X,Search - Marca,Marca Ampla,marca ampla kw1,Palavra-chave,5827,1251,1076.74,147.27,26039.39,0.493,0.379,0.128
Adroq Cliente X,Search - Marca,Marca Ampla,marca ampla kw2,Palavra-chave,2690,649,697.49,75.05,10780.84,0.591,0.395,0.014
Adroq Cliente X,Search - Marca,Marca Ampla,marca ampla kw3,Palavra-chave,5340,876,841.21,54.42,39914.43,0.248,0.047,0.705
Adroq Cliente X,Search - Marca,Marca Ampla,marca ampla kw4,Palavra-chave,4622,839,1227.16,10.05,6585.0,0.653,0.497,0
Adroq Cliente X,Search - Marca,Marca Ampla,marca ampla kw5,Palavra-chave,7501,1177,1197.32,96.39,9494.57,0.523,0.084,0.393
Adroq Cliente X,Search - Marca,Marca Ampla,marca ampla kw6,Palavra-chave,2118,390,292.16,14.84,10172.2,0.479,0.458,0.063
Adroq Cliente X,Search - Marca,Marca Ampla,termo pesquisa Sear0,Termo de pesquisa,215,22,172.47,1.58,799.52,,,
Adroq Cliente X,Search - Marca,Marca Ampla,termo pesquisa Sear1,Termo de pesquisa,1819,71,398.98,0,0,,,
Adroq Cliente X,Search - Marca,Marca Ampla,termo pesquisa Sear2,Termo de pesquisa,784,88,1187.52,1.81,310.66,,,
Adroq Cliente X,Search - Marca,Marca Ampla,termo pesquisa Sear3,Termo de pesquisa,525,85,427.84,0,0,,,
Adroq Cliente X,Search - Marca,Marca Ampla,termo pesquisa Sear4,Termo de pesquisa,1256,24,129.98,0,0,,,
Adroq Cliente X,Search - Genrico FX,Conta FX,conta fx kw1,Palavra-chave,8958,354,3037.06,40.57,26216.53,0.561,0.309,0.13
Adroq Cliente X,Search - Genrico FX,Conta FX,conta fx kw2,Palavra-chave,1084,50,619.36,5.72,3649.77,0.591,0.199,0.21
Adroq Cliente X,Search - Genrico FX,Conta FX,conta fx kw3,Palavra-chave,6657,121,1140.86,1.47,198.78,0.346,0.081,0.573
Adroq Cliente X,Search - Genrico FX,Conta FX,conta fx kw4,Palavra-chave,5771,335,931.21,23.51,12225.84,0.864,0.307,0
Adroq Cliente X,Search - Genrico FX,Conta FX,conta fx kw5,Palavra-chave,1352,108,990.99,2.38,682.71,0.443,0.182,0.375
Adroq Cliente X,Search - Genrico FX,Conta FX,conta fx kw6,Palavra-chave,2212,42,319.24,4.93,2336.45,0.418,0.072,0.51
Adroq Cliente X,Search - Genrico FX,Conta FX,termo pesquisa Sear0,Termo de pesquisa,1566,34,279.55,1.57,293.14,,,
Adroq Cliente X,Search - Genrico FX,Conta FX,termo pesquisa Sear1,Termo de pesquisa,1999,68,455.79,5.03,2385.4,,,
Adroq Cliente X,Search - Genrico FX,Conta FX,termo pesquisa Sear2,Termo de pesquisa,660,83,1097.53,2.35,636.11,,,
Adroq Cliente X,Search - Genrico FX,Conta FX,termo pesquisa Sear3,Termo de pesquisa,392,46,553.62,2.97,746.73,,,
Adroq Cliente X,Search - Genrico FX,Corretora,corretora kw1,Palavra-chave,3397,253,2967.48,22.79,6060.46,0.562,0.178,0.26
Adroq Cliente X,Search - Genrico FX,Corretora,corretora kw2,Palavra-chave,674,60,682.59,3.56,850.09,0.624,0.172,0.204
